Id	species	Syp/allo	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
CAS5462	fortis	Sympatry	-0.063491965	-0.005279714	0.007027895	0.012162318	-3.94E-04	0.003974818	-0.004360486	0.00117968	0.002586222	-0.001164156	0.00363649	-0.001112943	-0.002388819	-6.97E-04	-8.78E-04	-4.84E-04	-6.99E-04	0.001901682	7.78E-04	-8.02E-04	2.20E-04	-1.32E-04	4.44E-04	9.70E-04	-4.76E-04	-2.19E-04
CAS5465	magnirostris	Allopatry	0.007529341	-0.015909949	-0.034139501	-0.013248051	-0.002040845	-0.005460051	8.41E-04	-0.007864563	0.001747269	-6.13E-04	0.009069469	-0.005482619	0.007763277	0.002907766	0.001298048	-0.002297529	0.002117553	-0.003970059	-3.58E-06	-7.98E-04	-0.001160734	-0.002986735	-9.57E-04	-0.001671086	-5.87E-04	0.001504923
CAS5466	fortis	Sympatry	-0.014152315	-0.038330313	0.01610604	0.002995781	0.003965988	-0.004365158	0.004260719	-0.006841923	2.32E-04	0.003242416	-0.002159533	2.93E-04	-0.003645103	-0.001978785	2.45E-04	0.001790625	-0.001407886	0.001068476	-2.80E-04	8.88E-04	-4.97E-04	-2.11E-04	-3.19E-04	3.99E-04	-4.32E-04	6.61E-05
CAS5471	fortis	Allopatry	0.01560687	-0.038977355	-0.028686156	0.01604598	-0.024836965	-0.025505139	0.007531263	-0.002182843	-0.0139768	0.01452241	0.002304082	-0.00471912	0.008342256	0.006206206	8.38E-04	-0.003758972	-0.001964032	-0.003330216	-0.002906971	-0.002016659	-0.003565589	0.004415428	0.001063099	9.51E-04	4.83E-04	-4.08E-04
CAS5475	fortis	Sympatry	-0.051387405	0.001400192	0.028091963	-0.033825074	2.86E-05	0.008203053	0.029739452	-0.01576449	7.45E-04	-0.007216245	0.003101369	-0.010902594	0.009309899	0.008358615	-0.0172413	0.003382704	-0.003333223	0.005766697	0.010581287	-0.011690398	0.005076117	-0.004963971	0.004728033	-5.34E-04	1.71E-04	-1.77E-04
CAS5476	fortis	Sympatry	-0.065968606	-0.0011814	0.011798986	0.007875572	-0.017614434	0.008410186	0.001881529	-0.00384054	0.00172616	-0.007438818	0.001313459	0.001520557	-0.001314796	-0.002515063	0.002048785	9.42E-04	-5.62E-04	0.00263202	-7.46E-04	-9.99E-04	5.92E-04	-8.46E-05	-4.17E-04	2.46E-04	7.67E-05	2.38E-04
CAS5480	fortis	Allopatry	0.084339261	0.031694681	-0.011208234	0.017155811	-0.025467942	0.013207091	-0.005375721	0.006744429	0.010108998	-0.016005497	-0.008712292	-0.006254973	0.002625591	0.001076865	0.006181991	0.001262173	0.002760171	0.004945023	0.003615603	-0.001286393	-2.20E-04	0.004656848	-4.98E-04	2.88E-04	-0.002540718	9.72E-04
CAS5482	fortis	Allopatry	0.046744161	0.044315442	-0.001999033	0.006279502	0.005137907	0.018747357	-0.00867205	0.009849918	-0.003292332	-0.002380146	-0.002511455	-0.007915593	-0.007978394	0.00992126	0.006458689	4.90E-04	0.004179535	0.002859133	0.003935917	-6.54E-04	-5.76E-04	-0.00187673	0.002996945	0.002745292	-0.00145686	0.003132459
CAS5486	fortis	Allopatry	0.106034482	-0.001077809	-0.039176708	-0.010023527	0.01813108	0.001623716	-0.00925904	0.003003455	0.008274957	-0.004291391	-0.011031525	-0.002561773	3.30E-04	-0.008509158	-3.44E-04	-0.005685962	-0.001311029	0.003057586	-0.00301333	-0.003872028	0.001190858	-3.31E-04	5.26E-04	5.62E-04	-0.002950033	-0.002434519
CAS5488	magnirostris	Sympatry	0.098383737	0.039800945	-0.008151824	0.007335648	0.007987071	0.0094416	-0.003153094	-0.008140061	-0.001950182	-0.003622883	-6.16E-04	-0.00669489	-0.006800709	-0.002921789	9.28E-04	0.002136538	6.52E-04	0.002474943	-0.002394573	9.96E-04	0.001514265	6.17E-04	4.99E-04	-0.003533205	-0.001785957	-3.30E-04
CAS5489	fortis	Allopatry	-0.054997978	-0.030941461	0.015390513	-0.015601247	-0.005161192	0.009050817	-0.002527488	0.008291042	0.005598185	-0.00554198	0.001607576	-0.004605913	-0.005391198	0.002010316	0.00435695	6.40E-04	-0.003274992	-0.001992118	-0.001207442	-0.001004634	0.001695285	0.002112296	0.001799424	0.001495941	-0.001303579	1.80E-05
CAS5490	fortis	Sympatry	0.065175729	0.054058583	-0.032140624	0.007043677	0.035114641	0.006205931	0.004830422	-0.006763606	-8.69E-05	0.003367271	-0.004312752	-0.001855768	-0.011169677	-0.010260382	0.00612023	-0.006756	-0.00666199	-2.90E-04	0.003455218	-0.001763536	0.00124572	0.003318274	-0.001250562	0.003819353	0.002267141	-0.00161472
CAS5491	fortis	Allopatry	0.043838846	-0.055221979	-0.031882519	0.013774688	0.005806479	0.003798238	0.011181476	-0.004906348	-4.60E-04	0.018420479	-0.002581212	6.78E-04	0.003412344	0.003071488	-0.003840706	0.001774226	-0.004550387	0.001491662	1.02E-04	-0.002049135	-8.31E-04	0.001454276	0.003118042	0.001717393	-0.004439944	-0.001110171
